,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
90,Vladimir,Camille,Galio,Kalista,Shen,Maokai,Jarvan IV,Zoe,Ezreal,Braum,True,,,,
91,Gangplank,Jarvan IV,Malzahar,Ezreal,Alistar,Gnar,Kha'Zix,Azir,Varus,Braum,True,,,,
92,Gnar,Lee Sin,Azir,Ezreal,Nami,Ornn,Kha'Zix,Ryze,Sivir,Tahm Kench,False,,,,
93,Ornn,Jarvan IV,Ryze,Kalista,Tahm Kench,Maokai,Kha'Zix,Malzahar,Varus,Braum,True,,,,
94,Gnar,Sejuani,Veigar,Caitlyn,Tahm Kench,Gangplank,Skarner,Azir,Ezreal,Thresh,True,,,,
95,Ornn,Skarner,Azir,Varus,Tahm Kench,Gnar,Kha'Zix,Ryze,Ezreal,Braum,False,,,,
96,Gnar,Sejuani,Zoe,Kog'Maw,Tahm Kench,Vladimir,Jarvan IV,Azir,Tristana,Braum,True,,,,
97,Vladimir,Jarvan IV,Azir,Tristana,Janna,Lucian,Zac,Ryze,Caitlyn,Braum,False,,,,
98,Vladimir,Kayn,Azir,Tristana,Braum,Cho'Gath,Jarvan IV,Malzahar,Kog'Maw,Tahm Kench,False,,,,
99,Ornn,Jarvan IV,Corki,Caitlyn,Tahm Kench,Gnar,Zac,Galio,Ezreal,Alistar,False,,,,
100,Gnar,Rengar,Azir,Ezreal,Alistar,Ekko,Kha'Zix,Vladimir,Tristana,Braum,True,,,,
101,Gnar,Jarvan IV,Galio,Ezreal,Shen,Ornn,Sejuani,Azir,Tristana,Braum,False,,,,
102,Ornn,Sejuani,Azir,Vayne,Braum,Gnar,Jarvan IV,Galio,Tristana,Tahm Kench,True,,,,
103,Gangplank,Shyvana,Malzahar,Kalista,Braum,Vladimir,Jarvan IV,Galio,Ezreal,Alistar,False,,,,
104,Gangplank,Zac,Zoe,Ezreal,Alistar,Gnar,Sejuani,Syndra,Varus,Tahm Kench,True,,,,
105,Vladimir,Jarvan IV,Galio,Varus,Alistar,Ryze,Jax,Corki,Ezreal,Braum,False,,,,
106,Gangplank,Skarner,Azir,Varus,Braum,Ornn,Kha'Zix,Ryze,Kog'Maw,Taric,True,,,,
107,Maokai,Jarvan IV,Ryze,Kog'Maw,Tahm Kench,Gnar,Jax,Cassiopeia,Ezreal,Braum,False,,,,
108,Gnar,Jax,Azir,Ezreal,Taric,Gangplank,Kha'Zix,Ryze,Kog'Maw,Braum,False,,,,
109,Gnar,Camille,Galio,Kalista,Braum,Pantheon,Sejuani,Vladimir,Ezreal,Alistar,True,,,,
110,Graves,Sejuani,Zilean,Varus,Braum,Vladimir,Jarvan IV,Ryze,Ezreal,Tahm Kench,False,,,,
111,Gnar,Zac,Azir,Kog'Maw,Taric,Camille,Jarvan IV,Ryze,Caitlyn,Braum,True,,,,
112,Ornn,Jax,Azir,Caitlyn,Braum,Gangplank,Rengar,Vladimir,Kalista,Alistar,True,,,,
