Camille,Jarvan IV,Malzahar,Kalista,Ornn,Gangplank,Sejuani,Karthus,Ezreal,Tahm Kench,False
Camille,Shyvana,Ryze,Tristana,Tahm Kench,Gangplank,Sejuani,Malzahar,Varus,Janna,False
Gangplank,Zac,Corki,Varus,Janna,Vladimir,Kha'Zix,Malzahar,Ezreal,Braum,False
Gangplank,Rengar,Azir,Ezreal,Tahm Kench,Gnar,Nidalee,Zoe,Kalista,Braum,False
Gangplank,Kha'Zix,Galio,Ezreal,Alistar,Gnar,Jax,Zoe,Varus,Braum,False
Ornn,Rengar,Azir,Varus,Braum,Gnar,Kha'Zix,Kassadin,Kalista,Taric,True
Maokai,Kha'Zix,Azir,Ezreal,Braum,Gnar,Lee Sin,Ryze,Kog'Maw,Tahm Kench,True
Trundle,Zac,Malzahar,Kog'Maw,Braum,Ornn,Shyvana,Ryze,Varus,Taric,True
Gangplank,Nidalee,Zoe,Kalista,Taric,Gnar,Lee Sin,Malzahar,Varus,Tahm Kench,True
Camille,Kha'Zix,Ryze,Ezreal,Braum,Gangplank,Sejuani,Malzahar,Kog'Maw,Alistar,True
Camille,Rengar,Galio,Kalista,Tahm Kench,Fiora,Nidalee,Azir,Ezreal,Braum,False
Gnar,Jarvan IV,Karma,Kog'Maw,Janna,Vladimir,Sejuani,Taliyah,Varus,Braum,True
Ornn,Nidalee,Karma,Varus,Janna,Gnar,Sejuani,Fiddlesticks,Kog'Maw,Braum,True
Jayce,Jarvan IV,Ryze,Ezreal,Ornn,Gnar,Kha'Zix,Azir,Varus,Shen,True
Vladimir,Camille,Galio,Kalista,Shen,Maokai,Jarvan IV,Zoe,Ezreal,Braum,True
Gangplank,Jarvan IV,Malzahar,Ezreal,Alistar,Gnar,Kha'Zix,Azir,Varus,Braum,True
Gnar,Lee Sin,Azir,Ezreal,Nami,Ornn,Kha'Zix,Ryze,Sivir,Tahm Kench,False
Ornn,Jarvan IV,Ryze,Kalista,Tahm Kench,Maokai,Kha'Zix,Malzahar,Varus,Braum,True
Gnar,Sejuani,Veigar,Caitlyn,Tahm Kench,Gangplank,Skarner,Azir,Ezreal,Thresh,True
Ornn,Skarner,Azir,Varus,Tahm Kench,Gnar,Kha'Zix,Ryze,Ezreal,Braum,False
Gnar,Sejuani,Zoe,Kog'Maw,Tahm Kench,Vladimir,Jarvan IV,Azir,Tristana,Braum,True
Vladimir,Jarvan IV,Azir,Tristana,Janna,Lucian,Zac,Ryze,Caitlyn,Braum,False
Vladimir,Kayn,Azir,Tristana,Braum,Cho'Gath,Jarvan IV,Malzahar,Kog'Maw,Tahm Kench,False
Ornn,Jarvan IV,Corki,Caitlyn,Tahm Kench,Gnar,Zac,Galio,Ezreal,Alistar,False
Gnar,Rengar,Azir,Ezreal,Alistar,Ekko,Kha'Zix,Vladimir,Tristana,Braum,True
Gnar,Jarvan IV,Galio,Ezreal,Shen,Ornn,Sejuani,Azir,Tristana,Braum,False
Ornn,Sejuani,Azir,Vayne,Braum,Gnar,Jarvan IV,Galio,Tristana,Tahm Kench,True
Gangplank,Shyvana,Malzahar,Kalista,Braum,Vladimir,Jarvan IV,Galio,Ezreal,Alistar,False
Gangplank,Zac,Zoe,Ezreal,Alistar,Gnar,Sejuani,Syndra,Varus,Tahm Kench,True
Vladimir,Jarvan IV,Galio,Varus,Alistar,Ryze,Jax,Corki,Ezreal,Braum,False
Gangplank,Skarner,Azir,Varus,Braum,Ornn,Kha'Zix,Ryze,Kog'Maw,Taric,True
Maokai,Jarvan IV,Ryze,Kog'Maw,Tahm Kench,Gnar,Jax,Cassiopeia,Ezreal,Braum,False
Gnar,Jax,Azir,Ezreal,Taric,Gangplank,Kha'Zix,Ryze,Kog'Maw,Braum,False
Gnar,Camille,Galio,Kalista,Braum,Pantheon,Sejuani,Vladimir,Ezreal,Alistar,True
Graves,Sejuani,Zilean,Varus,Braum,Vladimir,Jarvan IV,Ryze,Ezreal,Tahm Kench,False
Gnar,Zac,Azir,Kog'Maw,Taric,Camille,Jarvan IV,Ryze,Caitlyn,Braum,True
Ornn,Jax,Azir,Caitlyn,Braum,Gangplank,Rengar,Vladimir,Kalista,Alistar,True
Vladimir,Jarvan IV,Ryze,Tristana,Tahm Kench,Gnar,Zac,Orianna,Ezreal,Alistar,False
Gnar,Gragas,Azir,Kalista,Alistar,Gangplank,Jarvan IV,Fiddlesticks,Tristana,Ornn,False
Ornn,Sejuani,Galio,Varus,Braum,Cho'Gath,Evelynn,Cassiopeia,Ezreal,Tahm Kench,True
Cho'Gath,Kha'Zix,Azir,Kog'Maw,Braum,Jax,Jarvan IV,Zoe,Caitlyn,Tahm Kench,True
Gangplank,Jarvan IV,Azir,Varus,Tahm Kench,Ornn,Zac,Veigar,Caitlyn,Zilean,False
Cho'Gath,Kha'Zix,Azir,Tristana,Tahm Kench,Gnar,Sejuani,Zoe,Varus,Braum,True
Gangplank,Zac,Azir,Varus,Morgana,Vladimir,Sejuani,Jayce,Ezreal,Braum,True
Gangplank,Evelynn,Azir,Ezreal,Ornn,Gnar,Sejuani,Syndra,Tristana,Braum,True
Jayce,Jax,Ryze,Sivir,Alistar,Gnar,Sejuani,Cassiopeia,Ezreal,Taric,False
Gnar,Sejuani,Ryze,Kog'Maw,Braum,Vladimir,Jarvan IV,Azir,Ezreal,Alistar,True
Maokai,Rengar,Orianna,Kalista,Thresh,Ornn,Zac,Ryze,Ezreal,Braum,False
Gangplank,Shyvana,Malzahar,Vayne,Tahm Kench,Vladimir,Kha'Zix,Yasuo,Varus,Alistar,True
Camille,Jarvan IV,Cassiopeia,Varus,Janna,Gangplank,Evelynn,Malzahar,Ezreal,Taric,False
Ornn,Kha'Zix,Azir,Ezreal,Braum,Gangplank,Jarvan IV,Veigar,Sivir,Janna,True
Gangplank,Zac,Cassiopeia,Ezreal,Shen,Ornn,Jarvan IV,Malzahar,Vayne,Braum,False
Gangplank,Jarvan IV,Zoe,Kalista,Taric,Camille,Kha'Zix,Azir,Ezreal,Alistar,True
Camille,Sejuani,Ryze,Varus,Shen,Gangplank,Jarvan IV,Zoe,Caitlyn,Alistar,False
Sion,Jarvan IV,Zoe,Ezreal,Shen,Illaoi,Kha'Zix,Azir,Kalista,Braum,False
Camille,Sejuani,Taliyah,Kalista,Alistar,Ornn,Jarvan IV,Zoe,Kog'Maw,Taric,True
Gnar,Jarvan IV,Zoe,Caitlyn,Tahm Kench,Gangplank,Sejuani,Malzahar,Varus,Brand,True
Camille,Zac,Orianna,Kalista,Taric,Vladimir,Jax,Malzahar,Varus,Tahm Kench,False
